sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"052106CZK['CC', 'CC', 'CI']",44,"['CC', 'DC', 'DC']",VICTORY,0.82,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,31,474,101
"052106CZK['CC', 'CC', 'CI']",44,"['CC', 'DC', 'DC']",VICTORY,0.82,2,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,34,471,101
"052106CZK['CC', 'CC', 'CI']",45,"['CC', 'DC', 'DI']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.94,43,7,10
"052106CZK['CC', 'CC', 'CI']",45,"['CC', 'DC', 'DI']",LOSS,0,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,5,45,10
"052106CZK['CC', 'CC', 'CI']",45,"['CC', 'DC', 'DI']",LOSS,0,1,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.93,40,10,10
"052106CZK['CC', 'CC', 'CI']",46,"['CC', 'DC', 'RANDOM']",LOSS,0,2,2,AI-RANDOM,0,9,31,8
"052106CZK['CC', 'CC', 'CI']",46,"['CC', 'DC', 'RANDOM']",LOSS,0,1,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.61,37,3,8
"052106CZK['CC', 'CC', 'CI']",46,"['CC', 'DC', 'RANDOM']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.7300001,34,6,8
"052106CZK['CC', 'CC', 'CI']",47,"['CC', 'DI', 'DI']",LOSS,0,1,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.94,37,3,8
"052106CZK['CC', 'CC', 'CI']",47,"['CC', 'DI', 'DI']",LOSS,0,2,1,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.6300001,34,6,8
"052106CZK['CC', 'CC', 'CI']",47,"['CC', 'DI', 'DI']",LOSS,0,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,35,8
"052106CZK['CC', 'CC', 'CI']",48,"['CC', 'DI', 'RANDOM']",VICTORY,0.32,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.05,39,466,101
"052106CZK['CC', 'CC', 'CI']",48,"['CC', 'DI', 'RANDOM']",VICTORY,0.32,2,1,AI-RANDOM,0.8099999,264,241,101
"052106CZK['CC', 'CC', 'CI']",48,"['CC', 'DI', 'RANDOM']",VICTORY,0.32,1,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.92,467,38,101
"052106CZK['CC', 'CC', 'CI']",49,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.68,2,1,AI-RANDOM,0.8099999,246,259,101
"052106CZK['CC', 'CC', 'CI']",49,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.68,1,0,AI-RANDOM,0.92,282,223,101
